Parent_node,Child_node,child_node_name,lot_size,leadtime,process_capa,long_vacation_weeks,LT_boat,LT_air,LT_qourier,weeks_year,SS_days,TAX_currency_condition,HS_code,customs_tariff_rate,price_elasticity,cost_standard_flag,AR_lead_time,AP_lead_time,PSI_graph_flag,buffering_stock_flag
root,supply_point,supply_point,10,2,400,[],1,2,1,52,10,profile,8703.8,0,0,0,30,45,ON,OFF
supply_point,MOMEURO,MOMEURO,10,2,400,[],1,2,1,52,10,profile,8703.8,0,0,0,30,45,OFF,ON
supply_point,MOMASIA,MOMASIA,10,2,400,[],1,2,1,52,10,profile,8703.8,0,0,0,30,45,ON,ON
supply_point,MOMAMER,MOMAMER,10,2,400,[],1,2,1,52,10,profile,8703.8,0,0,0,30,45,OFF,ON
MOMEURO,Platform_EU,Platform_EU,10,1,400,[],7,2,1,52,10,profile,8703.8,0,0,0,30,45,OFF,OFF
MOMEURO,powerunit_EU,powerunit_EU,10,1,400,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",9,2,1,52,10,profile,8703.8,0,0,0,30,45,ON,OFF
MOMEURO,Cockpit_EU,Cockpit_EU,10,1,400,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",4,2,1,52,10,profile,8703.8,0,0,0,30,45,ON,OFF
MOMEURO,Transmission_EU,Transmission_EU,10,1,400,[],1,2,1,52,10,profile,8703.8,0,0,0,30,45,OFF,OFF
MOMEURO,Body_EU,Body_EU,10,1,400,[],7,2,1,52,10,profile,8703.8,0,0,0,30,45,OFF,OFF
Platform_EU,frame_EU,frame_EU,10,1,400,[],9,2,1,52,10,profile,8703.8,0,0,0,30,45,OFF,OFF
Platform_EU,wheels_EU,wheels_EU,10,1,400,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",4,2,1,52,10,profile,8703.8,0,0,0,30,45,OFF,OFF
powerunit_EU,motor_EU,motor_EU,10,2,400,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",1,2,1,52,10,profile,8703.8,0,0,0,30,45,OFF,OFF
powerunit_EU,battery_AS,battery_AS,10,2,400,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",7,2,1,52,10,profile,8703.8,0,0,0,30,45,OFF,OFF
Cockpit_EU,steering_EU,steering_EU,10,3,400,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",9,2,1,52,10,profile,8703.8,0,0,0,30,45,OFF,OFF
Cockpit_EU,monitor_EU,monitor_EU,10,2,400,[],4,2,1,52,10,profile,8703.8,0,0,0,30,45,OFF,OFF
Body_EU,steel_EU,steel_EU,10,2,400,[],1,2,1,52,10,profile,8703.8,0,0,0,30,45,OFF,OFF
Body_EU,windows_EU,windows_EU,10,1,400,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",7,2,1,52,10,profile,8703.8,0,0,0,30,45,OFF,OFF
Body_EU,wireharness_EU,wireharness_EU,10,2,400,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",9,2,1,52,10,profile,8703.8,0,0,0,30,45,ON,OFF
motor_EU,core_EU,core_EU,10,2,400,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",4,2,1,52,10,profile,8703.8,0,0,0,30,45,ON,OFF
motor_EU,coil_EU,coil_EU,10,2,400,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",1,2,1,52,10,profile,8703.8,0,0,0,30,45,ON,OFF
motor_EU,cover_EU,cover_EU,10,2,400,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",7,2,1,52,10,profile,8703.8,0,0,100,30,45,ON,OFF
MOMASIA,Platform_AS,Platform_AS,10,1,400,[],7,2,1,52,10,profile,8703.8,0,0,0,30,45,ON,OFF
MOMASIA,powerunit_AS,powerunit_AS,10,1,400,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",9,2,1,52,10,profile,8703.8,0,0,0,30,45,ON,OFF
MOMASIA,Cockpit_AS,Cockpit_AS,10,1,400,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",4,2,1,52,10,profile,8703.8,0,0,0,30,45,OFF,OFF
MOMASIA,Transmission_AS,Transmission_AS,10,1,400,[],1,2,1,52,10,profile,8703.8,0,0,0,30,45,OFF,OFF
MOMASIA,Body_AS,Body_AS,10,1,400,[],7,2,1,52,10,profile,8703.8,0,0,0,30,45,OFF,OFF
Platform_AS,frame_AS,frame_AS,10,1,400,[],9,2,1,52,10,profile,8703.8,0,0,0,30,45,OFF,OFF
Platform_AS,wheels_AS,wheels_AS,10,1,400,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",4,2,1,52,10,profile,8703.8,0,0,0,30,45,OFF,OFF
powerunit_AS,motor_AS,motor_AS,10,2,400,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",1,2,1,52,10,profile,8703.8,0,0,0,30,45,OFF,OFF
powerunit_AS,battery_AS,battery_AS,10,2,400,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",7,2,1,52,10,profile,8703.8,0,0,0,30,45,OFF,OFF
Cockpit_AS,steering_AS,steering_AS,10,3,400,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",9,2,1,52,10,profile,8703.8,0,0,0,30,45,OFF,OFF
Cockpit_AS,monitor_AS,monitor_AS,10,2,400,[],4,2,1,52,10,profile,8703.8,0,0,0,30,45,OFF,OFF
Body_AS,steel_AS,steel_AS,10,2,400,[],1,2,1,52,10,profile,8703.8,0,0,0,30,45,OFF,OFF
Body_AS,windows_AS,windows_AS,10,1,400,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",7,2,1,52,10,profile,8703.8,0,0,0,30,45,OFF,OFF
Body_AS,wireharness_AS,wireharness_AS,10,2,400,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",9,2,1,52,10,profile,8703.8,0,0,0,30,45,OFF,OFF
motor_AS,core_AS,core_AS,10,2,400,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",4,2,1,52,10,profile,8703.8,0,0,0,30,45,OFF,OFF
motor_AS,coil_AS,coil_AS,10,2,400,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",1,2,1,52,10,profile,8703.8,0,0,0,30,45,OFF,OFF
motor_AS,cover_AS,cover_AS,10,2,400,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",7,2,1,52,10,profile,8703.8,0,0,0,30,45,OFF,OFF
MOMAMER,Platform_AM,Platform_AM,10,1,400,[],7,2,1,52,10,profile,8703.8,0,0,0,30,45,OFF,OFF
MOMAMER,powerunit_AM,powerunit_AM,10,1,400,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",9,2,1,52,10,profile,8703.8,0,0,0,30,45,OFF,OFF
MOMAMER,Cockpit_AM,Cockpit_AM,10,1,400,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",4,2,1,52,10,profile,8703.8,0,0,0,30,45,OFF,OFF
MOMAMER,Transmission_AM,Transmission_AM,10,1,400,[],1,2,1,52,10,profile,8703.8,0,0,0,30,45,OFF,OFF
MOMAMER,Body_AM,Body_AM,10,1,400,[],7,2,1,52,10,profile,8703.8,0,0,0,30,45,OFF,OFF
Platform_AM,frame_AM,frame_AM,10,1,400,[],9,2,1,52,10,profile,8703.8,0,0,0,30,45,OFF,OFF
Platform_AM,wheels_AM,wheels_AM,10,1,400,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",4,2,1,52,10,profile,8703.8,0,0,0,30,45,OFF,OFF
powerunit_AM,motor_AM,motor_AM,10,2,400,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",1,2,1,52,10,profile,8703.8,0,0,0,30,45,OFF,OFF
powerunit_AM,battery_AS,battery_AS,10,2,400,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",7,2,1,52,10,profile,8703.8,0,0,0,30,45,OFF,OFF
Cockpit_AM,steering_AM,steering_AM,10,3,400,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",9,2,1,52,10,profile,8703.8,0,0,0,30,45,OFF,OFF
Cockpit_AM,monitor_AM,monitor_AM,10,2,400,[],4,2,1,52,10,profile,8703.8,0,0,0,30,45,OFF,OFF
Body_AM,steel_AM,steel_AM,10,2,400,[],1,2,1,52,10,profile,8703.8,0,0,0,30,45,OFF,OFF
Body_AM,windows_AM,windows_AM,10,1,400,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",7,2,1,52,10,profile,8703.8,0,0,0,30,45,OFF,OFF
Body_AM,wireharness_AM,wireharness_AM,10,2,400,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",9,2,1,52,10,profile,8703.8,0,0,0,30,45,OFF,OFF
motor_AM,core_AM,core_AM,10,2,400,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",4,2,1,52,10,profile,8703.8,0,0,0,30,45,OFF,OFF
